,Unnamed: 0,source,code,site,Address,la_id,Authority,site_type,os_grid_x,os_grid_y,latitude,longitude,OpeningDate,ClosingDate,end_year,start_year,geometry
450,451,kcl,NM3,Newham - Wren Close,"Wren Close, Canning Town, Newham",25,Newham,Urban Background,539889.0,181469.0,51.514727,0.014554,2003-03-21,,2024,2003,POINT (539889.0000419834 181469.00008447288)
68,69,kcl,ST4,Sutton - Wallington,Woodcote Road,29,Sutton,Kerbside,528925.0,163804.0,51.3586596124998,-0.149723946604927,2002-07-17 01:00:00,,2024,2002,POINT (528925.000038693 163804.00007917196)
180,181,kcl,CR7,Croydon - Purley Way A23,"Purley Way, Waddon",8,Croydon,Roadside,531151.0,164258.0,51.3622305655403,-0.117604507351392,2012-01-19,,2024,2012,POINT (531151.000039361 164258.00007930805)
28,29,kcl,ST9,Sutton - Beddington Village,"Beddington Lane, by the entrance to Beddington Park",29,Sutton,Roadside,530127.0,165230.0,51.3712010773161,-0.131948824988095,2020-10-16 01:00:00,,2024,2020,POINT (530127.0000390536 165230.00007959997)
485,486,kcl,CR9,Croydon - Park Lane,"Traffic Island, Park Lane, Croydon",8,Croydon,Roadside,532568.0,165599.0,51.3739530635378,-0.0967638468323854,2015-11-02,,2024,2015,POINT (532568.0000397863 165599.0000797116)
167,168,kcl,ST6,Sutton - Worcester Park,"Opposite the Royal British Legion Building, 69-75 Central Road, Worcester Park",29,Sutton,Kerbside,522557.0,165787.0,51.377923,-0.240414,2008-11-04,,2024,2008,POINT (522557.00003678177 165787.0000797686)
473,474,kcl,KT4,Kingston Upon Thames - Tolworth Broadway,"Outside Number 132 Tolworth Broadway, Tolworth",21,Kingston,Roadside,519706.0,165885.0,51.379312,-0.281259,2015-04-13 01:00:00,,2024,2015,POINT (519706.0000359261 165885.0000797966)
263,264,kcl,ST8,Sutton - Beddington Lane ,"Unit A, Prologis Park, 140-142 Beddington Lane",29,Sutton,Industrial,529781.0,166597.0,51.3835652277943,-0.136417861473301,2012-04-04 01:00:00,2020-10-16 01:00:00,2020,2012,POINT (529781.0000389499 166597.00008001132)
147,148,kcl,ST5,Sutton - Beddington Lane north,"Junction of Brookmead Road & Beddington Lane, Sutton",29,Sutton,Industrial,529400.0,167224.0,51.389286904505,-0.141661524779893,2005-12-01,,2024,2005,POINT (529400.0000388356 167224.00008019805)
486,487,kcl,ME9,Merton - Morden Civic Centre 2,Morden Civic Centre,24,Merton,Roadside,525593.0,168498.0,51.40162,-0.19589212,2017-01-27,,2024,2017,POINT (525593.000037693 168498.00008058018)
378,379,kcl,BY7,Bromley - Harwood Avenue,"Portacabin, End of Harwood Avenue",5,Bromley,Roadside,540518.0,169324.0,51.405546,0.018882,1998-07-06 12:00:00,,2024,1998,POINT (540518.0000421723 169324.0000808289)
276,277,kcl,KT5,Kingston Upon Thames - Cromwell Road,Cromwell Rd,21,Kingston,Roadside,518562.0,169519.0,51.412308,-0.29658478,2018-03-12,,2024,2018,POINT (518562.0000355828 169519.00008088682)
472,473,kcl,CR8,Croydon - Norbury Manor,"Norbury Manor Primary School, Abingdon Road",8,Croydon,Urban Background,530325.0,169554.0,51.410039,-0.127523,2014-12-01,,2024,2014,POINT (530325.0000391131 169554.0000808976)
125,126,kcl,CR5,Croydon - Norbury,"London Road, Norbury",8,Croydon,Kerbside,530626.0,169707.0,51.411349,-0.12311,2000-10-05 12:15:00,,2024,2000,POINT (530626.0000392034 169707.00008094375)
416,417,kcl,ME2,Merton - Merton Road,"234 Merton Road, South Wimbledon",24,Merton,Roadside,525808.0,170122.0,51.4161384794862,-0.192230805042824,2011-06-29 01:00:00,,2024,2011,POINT (525808.0000377574 170122.00008106913)
337,338,kcl,TX7,Teddington Grav PM10 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 15:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
335,336,kcl,TX5,Teddington TEOM 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2007-06-11,,2024,2007,POINT (515115.0000345482 170778.0000812654)
427,428,kcl,XD2,Teddington Fidas 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2014-02-20,,2024,2014,POINT (515115.0000345482 170778.0000812654)
323,324,kcl,TD4,Teddington TEOM 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 12:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
338,339,kcl,TX8,Teddington Grav PM10 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 15:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
325,326,kcl,TD6,Teddington FDMS 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 11:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
331,332,kcl,TX1,Teddington FDMSB 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2003-03-17 12:30:00,,2024,2003,POINT (515115.0000345482 170778.0000812654)
332,333,kcl,TX2,Teddington FDMSB 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 11:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
330,331,kcl,TX0,TeddingtonGrav PM25 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2007-06-11 11:00:00,,2024,2007,POINT (515115.0000345482 170778.0000812654)
327,328,kcl,TD8,Teddington Partisol 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 15:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
333,334,kcl,TX3,Teddington FDMSC 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2007-06-11,,2024,2007,POINT (515115.0000345482 170778.0000812654)
326,327,kcl,TD7,Teddington Partisol 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 15:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
257,258,kcl,XD1,Teddington Fidas 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2014-02-20,,2024,2014,POINT (515115.0000345482 170778.0000812654)
321,322,kcl,TD2,Teddington KFG 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 15:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
320,321,kcl,TD1,Teddington KFG 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 15:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
336,337,kcl,TX6,Teddington TEOM 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2007-06-11,,2024,2007,POINT (515115.0000345482 170778.0000812654)
322,323,kcl,TD3,Teddington TEOM 1,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2004-11-15 12:00:00,,2024,2004,POINT (515115.0000345482 170778.0000812654)
471,472,kcl,TD9,Teddington BAM,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2013-11-05,,2024,2013,POINT (515115.0000345482 170778.0000812654)
334,335,kcl,TX4,Teddington FDMSC 2,"National Physical Laboratory, Teddington",500,ERG Research,Suburban,515115.0,170778.0,51.4243043441456,-0.345714576446947,2007-06-11,,2024,2007,POINT (515115.0000345482 170778.0000812654)
